Region 82 Avg IOU: 0.226324, Class: 0.434090, Obj: 0.754014, No Obj: 0.613544, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.610162, Class: 0.275379, Obj: 0.234720, No Obj: 0.616010, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.348834, Class: 0.146643, Obj: 0.946458, No Obj: 0.616692, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.156637, Class: 0.420755, Obj: 0.517667, No Obj: 0.619674, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.074570, Class: 0.490745, Obj: 0.261652, No Obj: 0.617094, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.553912, Class: 0.280133, Obj: 0.453292, No Obj: 0.615521, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.143713, Class: 0.291950, Obj: 0.150781, No Obj: 0.617596, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.216878, Class: 0.579709, Obj: 0.259676, No Obj: 0.615626, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.322767, Class: 0.222685, Obj: 0.260413, No Obj: 0.615280, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.282888, Class: 0.514843, Obj: 0.646652, No Obj: 0.618140, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.123043, Class: 0.500645, Obj: 0.458488, No Obj: 0.614343, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.094470, Class: 0.394554, Obj: 0.433267, No Obj: 0.614267, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.253976, Class: 0.659187, Obj: 0.818259, No Obj: 0.616437, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.444620, Class: 0.398669, Obj: 0.885293, No Obj: 0.616777, .5R: 0.000000, .75R: 0.000000,  count: 1
