1: 1415.500732, 1415.500732 avg, 0.000000 rate, 2.163817 seconds, 8 images
2: 1414.940796, 1415.444702 avg, 0.000000 rate, 2.173413 seconds, 16 images
3: 1419.721436, 1415.872437 avg, 0.000000 rate, 2.123745 seconds, 24 images
4: 1412.969849, 1415.582153 avg, 0.000000 rate, 2.074263 seconds, 32 images
5: 1412.640259, 1415.287964 avg, 0.000000 rate, 2.068714 seconds, 40 images
6: 1413.029297, 1415.062134 avg, 0.000000 rate, 2.056915 seconds, 48 images
7: 1413.974365, 1414.953369 avg, 0.000000 rate, 2.141030 seconds, 56 images
8: 1414.882812, 1414.946289 avg, 0.000000 rate, 2.037344 seconds, 64 images
9: 1415.084473, 1414.960083 avg, 0.000000 rate, 2.064866 seconds, 72 images
10: 1416.070801, 1415.071167 avg, 0.000000 rate, 2.041667 seconds, 80 images
11: 1788.785400, 1452.442627 avg, 0.000000 rate, 2.613267 seconds, 88 images
12: 1797.726929, 1486.971069 avg, 0.000000 rate, 2.781593 seconds, 96 images
13: 1792.974854, 1517.571411 avg, 0.000000 rate, 2.783429 seconds, 104 images
14: 1787.735962, 1544.587891 avg, 0.000000 rate, 2.785593 seconds, 112 images
15: 1791.242188, 1569.253296 avg, 0.000000 rate, 2.795403 seconds, 120 images
16: 1792.585205, 1591.586548 avg, 0.000000 rate, 2.847286 seconds, 128 images
17: 1790.353760, 1611.463257 avg, 0.000000 rate, 2.938655 seconds, 136 images
18: 1791.966553, 1629.513550 avg, 0.000000 rate, 2.938413 seconds, 144 images
19: 1792.806885, 1645.842896 avg, 0.000000 rate, 2.860965 seconds, 152 images
20: 1792.182007, 1660.476807 avg, 0.000000 rate, 2.801946 seconds, 160 images
21: 934.872009, 1587.916382 avg, 0.000000 rate, 1.437315 seconds, 168 images
22: 934.233215, 1522.548096 avg, 0.000000 rate, 1.541730 seconds, 176 images
23: 934.376221, 1463.730957 avg, 0.000000 rate, 1.524177 seconds, 184 images
24: 936.011963, 1410.959106 avg, 0.000000 rate, 1.545367 seconds, 192 images
